target_genesymbol,a_pred_both,a_pred_a,a_pred_n,a_pred_none,n_pred_both,n_pred_a,n_pred_n,n_pred_none
ache,4,3,7,0,0,0,8,0
adora2a,0,3,11,0,0,0,4,0
adrb1,3,11,9,0,0,0,5,0
adrb2,3,22,5,0,163,58,137,0
ar,6,50,25,0,58,48,365,0
avpr1a,0,1,1,1,0,0,215,102
cckar,0,0,1,0,0,0,3,0
chrm1,0,39,9,19,0,71,153,72
chrm2,3,12,29,0,0,0,1,0
chrm3,3,7,31,0,0,0,0,0
cnr1,0,5,2,0,0,0,1,0
cnr2,0,4,0,0,0,0,0,0
drd1,0,63,25,8,0,71,167,48
drd2,0,27,5,29,0,2,173,72
ednra,1,0,3,0,0,0,2,0
htr1a,0,22,4,36,0,3,66,33
htr2a,0,17,14,27,0,12,207,65
kcnh2,0,43,23,7,0,36,254,44
lck,9,2,8,0,0,0,5,0
maoa,2,3,8,0,1,0,17,0
nr3c1,0,34,29,9,0,13,399,35
oprd1,1,9,13,0,0,1,2,0
oprk1,0,8,11,5,0,4,154,62
oprm1,0,15,12,9,0,0,8,3
pde3a,0,1,1,0,0,0,0,0
ptgs1,16,3,3,0,3,0,7,0
ptgs2,5,8,5,0,1,0,9,0
scn5a,1,0,4,0,3,0,0,0
slc6a2,13,9,50,0,0,0,2,0
slc6a3,0,12,16,25,0,2,158,66
slc6a4,5,19,41,0,0,1,2,0
